epoch,subset,n,mae_mchirp,mae_merger_time,mae_snr,mae_sky_position,mae_coa_phase,r2_mchirp,r2_merger_time,r2_snr,r2_sky_position,r2_coa_phase,std_ratio_mchirp,std_ratio_merger_time,std_ratio_snr,std_ratio_sky_position,std_ratio_coa_phase
45,q_low,1667,1.4163,0.0120605,0.901634,1.55898,1.55048,0.780645,0.914962,0.749683,0.032099,0.0270365,1.07774,0.981474,0.976758,1.20177,0.991375
45,q_mid,1666,1.53391,0.012269,0.907249,1.53166,1.5483,0.891157,0.904283,0.743827,0.0908516,0.00219835,1.03143,0.983504,0.976378,1.17853,1.0107
45,q_high,1667,1.67493,0.0125013,0.988142,1.50079,1.61851,0.918148,0.895095,0.699021,0.127282,-0.0559042,0.984917,0.986454,0.995609,1.16366,0.999297
45,q_low_mchirp_low,1241,1.29152,0.0122942,0.907572,1.57205,1.52697,0.591069,0.907039,0.746047,0.0405055,0.0390618,1.15534,0.981689,0.969376,1.19282,1.00036
45,q_low_mchirp_high,426,1.77981,0.0113798,0.884334,1.5209,1.61895,-0.716919,0.938538,0.760333,0.0041069,-0.0074721,1.59447,0.981383,0.997996,1.23032,0.965797
45,q_high_mchirp_low,544,1.30204,0.0157087,1.01625,1.55829,1.62279,0.774188,0.818207,0.670088,0.0897947,-0.0636848,0.90424,0.964519,1.00715,1.12894,0.995365
45,q_high_mchirp_high,1123,1.85557,0.0109477,0.974525,1.47294,1.61643,0.687823,0.930764,0.712454,0.145652,-0.0523558,1.09226,0.994971,0.988839,1.1802,1.00064
50,full,5000,1.5419,0.0122878,0.931673,1.52723,1.57182,0.908471,0.904541,0.731271,0.084718,-0.00832048,0.985856,0.986582,0.985326,1.1834,1.00842
50,snr_low,1667,2.26376,0.0151398,0.89605,1.51726,1.54178,0.812047,0.833847,-1.27448,0.110649,-0.022673,0.94083,0.980289,1.53757,1.12763,1.05921
50,snr_mid,1666,1.3447,0.0114421,1.07185,1.52903,1.58001,0.942097,0.929329,-1.83503,0.0766946,-0.00835899,0.994836,0.991125,1.99172,1.21592,0.984302
50,snr_high,1667,1.01713,0.0102811,0.827205,1.53539,1.59367,0.967547,0.949442,-0.960615,0.0668609,0.00472368,1.01672,0.988362,1.52277,1.20212,0.983454
50,mchirp_low,2500,1.25873,0.0135343,0.935998,1.55517,1.5444,0.734707,0.873855,0.725231,0.0675344,0.0121783,1.03463,0.982421,0.985452,1.16523,1.00724
50,mchirp_high,2500,1.82507,0.0110413,0.927347,1.49928,1.59923,0.676721,0.935319,0.737216,0.102085,-0.0291433,1.07531,0.990338,0.984982,1.20136,1.0096
50,merger_early,2500,1.52304,0.0124828,0.945921,1.53341,1.57794,0.910445,0.584279,0.717175,0.0960332,-0.00111241,0.993741,1.09565,0.988346,1.13815,1.00948
50,merger_late,2500,1.56076,0.0120928,0.917424,1.52104,1.56569,0.906505,0.656399,0.744989,0.0729417,-0.0157593,0.977845,1.07263,0.982425,1.22857,1.0074
50,q_low,1667,1.41241,0.0120935,0.903119,1.55351,1.5496,0.781841,0.914417,0.748788,0.0386231,0.0289094,1.07753,0.983666,0.979617,1.20582,0.99708
50,q_mid,1666,1.53717,0.0122694,0.909212,1.52826,1.54719,0.890916,0.904114,0.743054,0.090602,0.00374637,1.03067,0.98674,0.979041,1.17849,1.02018
50,q_high,1667,1.67612,0.0125005,0.982674,1.49991,1.61865,0.918265,0.894775,0.701135,0.124761,-0.0586007,0.983796,0.98915,0.997941,1.16536,1.00815
50,q_low_mchirp_low,1241,1.28691,0.0123243,0.908737,1.56729,1.52949,0.595529,0.906571,0.745551,0.0459368,0.0373239,1.15293,0.983903,0.972033,1.19592,1.00529
50,q_low_mchirp_high,426,1.77804,0.0114213,0.886753,1.51339,1.60819,-0.722412,0.937763,0.758273,0.0140659,0.0044678,1.59724,0.983581,1.00147,1.23734,0.973823
50,q_high_mchirp_low,544,1.29909,0.0157078,0.997887,1.55004,1.61617,0.777982,0.817406,0.679335,0.0998752,-0.059727,0.900032,0.96687,1.0093,1.12796,1.00193
